liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_asp_1000,acq_value
Viscosity_std_817,rLine1000,1000.0,54.16311863044341,54.16311863044341,False,10,10,0,0.8466,99.88737773895264,0.662127324532606,-21.7898270100867,Incomplete aspiration and dispense,Blowout before,1,56.925495624542236,None
Viscosity_std_817,rLine1000,500.0,54.16311863044341,54.16311863044341,False,10,10,0,0.8466,81.67880821228027,0.3776403219539964,-10.786600058115656,Incomplete aspiration and dispense,Blowout before,1,56.925495624542236,None
Viscosity_std_817,rLine1000,300.0,54.16311863044341,54.16311863044341,False,10,10,0,0.8466,74.42954087257385,0.2221516513682382,-12.531832676494927,Incomplete aspiration and dispense,Blowout before,1,56.925495624542236,None
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",54.16311863044341,54.16311863044341,False,10,10,0,0.8466,99.88737773895264,0.662127324532606,-15.036086581565762,Incomplete aspiration and dispense,Blowout before,1,56.925495624542236,None
Viscosity_std_817,rLine1000,300.0,67.70389875000001,67.70389875000001,False,10,10,0,0.8466,72.74260401725769,0.2089501955018058,-17.72966552413347,Incomplete aspiration and dispense,Blowout before,2,49.54039629807877,None
Viscosity_std_817,rLine1000,500.0,67.70389875000001,67.70389875000001,False,10,10,0,0.8466,78.08800458908081,0.3579401361577313,-15.440553707127016,Incomplete aspiration and dispense,Blowout before,2,49.54039629807877,None
Viscosity_std_817,rLine1000,1000.0,67.70389875000001,67.70389875000001,False,10,10,0,0.8466,92.60476493835448,0.6253060453113325,-26.13913946239872,Incomplete aspiration and dispense,Blowout before,2,49.54039629807877,None
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",67.70389875000001,67.70389875000001,False,10,10,0,0.8466,72.74260401725769,0.2089501955018058,-19.769786231219737,Incomplete aspiration and dispense,Blowout before,2,49.54039629807877,None
Viscosity_std_817,rLine1000,300.0,67.70389875000001,5.4163119,False,10,10,0,0.8466,123.14383578300476,0.2243810362993244,-11.65405295719174,Incomplete aspiration,Blowout before,3,219.3976750120317,None
Viscosity_std_817,rLine1000,500.0,67.70389875000001,5.4163119,False,10,10,0,0.8466,164.87915205955505,0.3851590319176596,-9.01038697905514,Incomplete aspiration,Blowout before,3,219.3976750120317,None
Viscosity_std_817,rLine1000,1000.0,67.70389875000001,5.4163119,False,10,10,0,0.8466,262.7739465236664,0.7839857962886455,-7.395960750219054,Incomplete aspiration,Blowout before,3,219.3976750120317,None
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",67.70389875000001,5.4163119,False,10,10,0,0.8466,123.14383578300476,0.2243810362993244,-9.353466895488644,Incomplete aspiration,Blowout before,3,219.3976750120317,None
Viscosity_std_817,rLine1000,300.0,5.4163119,67.70389875000001,False,10,10,0,0.8466,123.38932704925536,0.226654134660432,-10.759061870843391,Incomplete dispense,Blowout before,4,219.3976750120317,None
Viscosity_std_817,rLine1000,500.0,5.4163119,67.70389875000001,False,10,10,0,0.8466,163.1506040096283,0.3304006752443133,-21.94645045019766,Incomplete dispense,Blowout before,4,219.3976750120317,None
Viscosity_std_817,rLine1000,1000.0,5.4163119,67.70389875000001,False,10,10,0,0.8466,262.6889684200287,0.616942209033924,-27.12707193079093,Incomplete dispense,Blowout before,4,219.3976750120317,None
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",5.4163119,67.70389875000001,False,10,10,0,0.8466,123.38932704925536,0.226654134660432,-19.94419475061066,Incomplete dispense,Blowout before,4,219.3976750120317,None
Viscosity_std_817,rLine1000,1000.0,5.4163119,5.4163119,False,10,10,0,0.8466,432.7408103942871,0.827874080030029,-2.211896996216746,Complete Transfer,Blowout before,5,389.25495372598465,None
