liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,170,170,0,0,0,0,True,False,17.55904007,0.708959785,0.8239,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,170,170,0,0,0,0,True,False,16.83139563,1.955751131,0.8341,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,170,170,0,0,0,0,True,False,16.87565756,1.931304242,0.8339,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,175,175,0,0,0,0,True,False,16.56749749,1.870187019,0.8334,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,180,180,0,0,0,0,True,False,16.24924779,1.662388461,0.8317,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,200,200,0,0,0,0,True,False,14.95114875,-2.860286029,0.7947,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,195,195,0,0,0,0,True,False,15.24468637,-2.786945361,0.7953,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,185,185,0,0,0,0,True,False,15.80586958,-2.383571691,0.7986,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,180,180,0,0,0,0,True,False,16.14729357,-2.212443467,0.8,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,175,175,0,0,0,0,True,False,16.56359696,-1.82129324,0.8032,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,1000,175,175,0,2,0,0,True,False,18.55441308,-0.794523897,0.8116,0.8181
Viscosity_std_3.320,3.32,3.32,3.32,p1000,500,175,175,0,2,0,0,True,False,12.45921159,-3.581469258,0.3944,0.40905
Viscosity_std_3.320,3.32,3.32,3.32,p1000,500,175,175,0,2,2,0,True,False,14.52003717,0.452267449,0.4109,0.40905
Viscosity_std_3.320,3.32,3.32,3.32,p1000,500,175,175,0,2,2,0,True,False,14.51283908,0.42782056,0.4108,0.40905
Viscosity_std_3.320,3.32,3.32,3.32,p1000,300,175,175,0,2,2,0,True,False,12.26116991,0.028521371,0.2455,0.24543
Viscosity_std_3.320,3.32,3.32,3.32,p1000,300,175,175,0,2,2,0,True,False,12.26926661,-0.012223445,0.2454,0.24543
Viscosity_std_3.320,3.32,3.32,3.32,p1000,300,175,175,0,2,2,0,True,False,12.27879238,-0.012223445,0.2454,0.24543
